市区町村名,都道府県,緯度,経度
長万部町,北海道,42.51340337,140.3801967
江差町,北海道,41.86928745,140.1275909
上ノ国町,北海道,41.80111111,140.1213889
厚沢部町,北海道,41.92094925,140.2253619
乙部町,北海道,41.96854529,140.1353881
奥尻町,北海道,42.17228824,139.5141374
今金町,北海道,42.42937171,140.0086423
せたな町,北海道,42.41694444,139.8833333
島牧村,北海道,42.70049649,140.0615316
寿都町,北海道,42.7910538,140.2288275
黒松内町,北海道,42.66777778,140.3077778
蘭越町,北海道,42.80923992,140.5283803
ニセコ町,北海道,42.80480026,140.6875294
真狩村,北海道,42.7630045,140.8036719
留寿都村,北海道,42.73730784,140.8756242
喜茂別町,北海道,42.79543379,140.9345372
京極町,北海道,42.8582269,140.8841146
倶知安町,北海道,42.90171229,140.7590211
共和町,北海道,42.98040776,140.6114265
岩内町,北海道,42.979761,140.514773
泊村,北海道,43.06300163,140.4989034
神恵内村,北海道,43.14380532,140.4309293
積丹町,北海道,43.29874919,140.5979824
古平町,北海道,43.26533414,140.6389515
仁木町,北海道,43.15166667,140.7661111
余市町,北海道,43.19531756,140.7835239
赤井川村,北海道,43.08349202,140.8136322
南幌町,北海道,43.06371295,141.6502959
奈井江町,北海道,43.42527778,141.8827778
上砂川町,北海道,43.482118,141.9835294
由仁町,北海道,42.99960678,141.79028
長沼町,北海道,43.01036818,141.6954173
栗山町,北海道,43.05630081,141.7840938
月形町,北海道,43.33839288,141.6695448
浦臼町,北海道,43.43036951,141.8187355
新十津川町,北海道,43.54847601,141.8770965
妹背牛町,北海道,43.70017033,141.9615052
秩父別町,北海道,43.76701307,141.9578543
雨竜町,北海道,43.64396502,141.8890417
北竜町,北海道,43.73138889,141.8791667
沼田町,北海道,43.80670325,141.9336905
鷹栖町,北海道,43.84333333,142.3544444
東神楽町,北海道,43.69638494,142.4515003
当麻町,北海道,43.82813767,142.5083928
比布町,北海道,43.87500414,142.4776752
愛別町,北海道,43.90667341,142.5778203
上川町,北海道,43.84712409,142.7704637
東川町,北海道,43.6988984,142.5101593
美瑛町,北海道,43.5883298,142.4670597
上富良野町,北海道,43.45561409,142.4671231
中富良野町,北海道,43.40583333,142.4252778
南富良野町,北海道,43.16416667,142.5683333
占冠村,北海道,42.97987952,142.3985363
和寒町,北海道,44.02312874,142.4134008
剣淵町,北海道,44.09576224,142.3613267
下川町,北海道,44.3025664,142.6352023
美深町,北海道,44.48102079,142.3430577
音威子府村,北海道,44.72504179,142.2622139
中川町,北海道,44.81138889,142.0713889
幌加内町,北海道,44.00979823,142.1538298
増毛町,北海道,43.85605933,141.5249105
小平町,北海道,44.01546152,141.6627616
苫前町,北海道,44.30614209,141.6529088
羽幌町,北海道,44.36054972,141.6973205
初山別村,北海道,44.53214682,141.7663169
遠別町,北海道,44.7225084,141.7923268
天塩町,北海道,44.88817257,141.7453521
猿払村,北海道,45.3306092,142.1089722
浜頓別町,北海道,45.1237794,142.3597348
中頓別町,北海道,44.96976136,142.2867365
枝幸町,北海道,44.93873333,142.5814043
豊富町,北海道,45.10285676,141.7775026
礼文町,北海道,45.30308199,141.0477509
利尻町,北海道,45.18701663,141.1395796
利尻富士町,北海道,45.2475,141.2147222
幌延町,北海道,45.01777778,141.8494444
美幌町,北海道,43.82371383,144.1071991
津別町,北海道,43.70633069,144.0248025
斜里町,北海道,43.91138889,144.6708333
清里町,北海道,43.83523767,144.5946817
小清水町,北海道,43.85674521,144.4620985
訓子府町,北海道,43.72536829,143.7416617
置戸町,北海道,43.67638889,143.5863889
佐呂間町,北海道,44.01785206,143.7747668
遠軽町,北海道,44.06196432,143.5280486
湧別町,北海道,44.15160274,143.573035
滝上町,北海道,44.19222222,143.0777778
興部町,北海道,44.46985058,143.1239513
西興部村,北海道,44.32880793,142.9444613
雄武町,北海道,44.58248425,142.9618577
大空町,北海道,43.91194444,144.1725
豊浦町,北海道,42.583409,140.711966
壮瞥町,北海道,42.55210949,140.885836
白老町,北海道,42.55131326,141.3558661
厚真町,北海道,42.72363661,141.8778914
洞爺湖町,北海道,42.55111704,140.7642741
安平町,北海道,42.76277778,141.8180556
むかわ町,北海道,42.57474771,141.9267449
日高町,北海道,42.48033565,142.0742968
平取町,北海道,42.58514013,142.1286988
新冠町,北海道,42.36244309,142.3184391
浦河町,北海道,42.16834176,142.7682026
様似町,北海道,42.12777778,142.9338889
えりも町,北海道,42.01638889,143.1483333
新ひだか町,北海道,42.34125547,142.3686044
音更町,北海道,42.99413757,143.1978925
士幌町,北海道,43.16805004,143.2414601
上士幌町,北海道,43.23263469,143.2961787
鹿追町,北海道,43.09887653,142.9889704
新得町,北海道,43.07975642,142.8389096
清水町,北海道,43.01143823,142.8845411
芽室町,北海道,42.91194444,143.0508333
中札内村,北海道,42.697864,143.134395
更別村,北海道,42.65038621,143.1878416
大樹町,北海道,42.4975,143.2788889
広尾町,北海道,42.28593132,143.3116286
幕別町,北海道,42.9082019,143.3561006
池田町,北海道,42.92900742,143.4485303
豊頃町,北海道,42.80102049,143.5058896
本別町,北海道,43.12467344,143.6105661
足寄町,北海道,43.24480211,143.5540526
陸別町,北海道,43.46888889,143.7472222
浦幌町,北海道,42.80895698,143.6585781
釧路町,北海道,42.99617231,144.4660793
厚岸町,北海道,43.05194444,144.8475
浜中町,北海道,43.076292,145.130953
標茶町,北海道,43.30334699,144.6006586
弟子屈町,北海道,43.48521336,144.4593251
鶴居村,北海道,43.23007174,144.3211866
白糠町,北海道,42.95616451,144.0717316
別海町,北海道,43.3940015,145.1173283
中標津町,北海道,43.55520483,144.971387
標津町,北海道,43.66126914,145.1313251
羅臼町,北海道,44.02194444,145.1894444
青森市,青森県,40.82222222,140.7475
弘前市,青森県,40.60305556,140.4641667
八戸市,青森県,40.51222222,141.4883333
黒石市,青森県,40.64277778,140.5944444
五所川原市,青森県,40.807835,140.446118
十和田市,青森県,40.61277778,141.2058333
三沢市,青森県,40.68333333,141.3688889
むつ市,青森県,41.29305556,141.1830556
つがる市,青森県,40.80888889,140.38
平川市,青森県,40.58416667,140.5663889
平内町,青森県,40.92611111,140.9561111
今別町,青森県,41.18194444,140.4816667
蓬田村,青森県,40.97194444,140.6558333
外ヶ浜町,青森県,41.04333333,140.6325
鰺ヶ沢町,青森県,40.783011,140.233912
深浦町,青森県,40.64805556,139.9277778
西目屋村,青森県,40.57694444,140.2963889
藤崎町,青森県,40.65611111,140.5025
大鰐町,青森県,40.51833333,140.5677778
田舎館村,青森県,40.63166667,140.55
板柳町,青森県,40.69611111,140.4575
鶴田町,青森県,40.75888889,140.4286111
中泊町,青森県,40.960427,140.434122
野辺地町,青森県,40.86444444,141.1286111
七戸町,青森県,40.74472222,141.1577778
六戸町,青森県,40.60972222,141.3247222
横浜町,青森県,41.08333333,141.2475
東北町,青森県,40.72805556,141.2577778
六ヶ所村,青森県,40.9675,141.3744444
おいらせ町,青森県,40.59916667,141.3977778
大間町,青森県,41.522388,140.90483
東通村,青森県,41.27805556,141.3294444
風間浦村,青森県,41.4875,140.9955556
佐井村,青森県,41.42972222,140.8591667
三戸町,青森県,40.37833333,141.2586111
五戸町,青森県,40.53111111,141.3077778
田子町,青森県,40.34,141.1519444
南部町,青森県,40.420343,141.330307
階上町,青森県,40.4525,141.6211111
新郷村,青森県,40.46583333,141.1733333
盛岡市,岩手県,39.70194444,141.1541667
宮古市,岩手県,39.639554,141.946115
大船渡市,岩手県,39.08222222,141.7083333
花巻市,岩手県,39.38861111,141.1166667
北上市,岩手県,39.28666667,141.1130556
久慈市,岩手県,40.19027778,141.7752778
遠野市,岩手県,39.331014,141.532352
一関市,岩手県,38.93444444,141.1263889
陸前高田市,岩手県,39.020413,141.633321
釜石市,岩手県,39.27583333,141.8855556
二戸市,岩手県,40.27111111,141.3047222
八幡平市,岩手県,39.956511,141.07112
奥州市,岩手県,39.14444444,141.1388889
滝沢市,岩手県,39.73472222,141.0769444
雫石町,岩手県,39.69611111,140.9755556
葛巻町,岩手県,40.03972222,141.4363889
岩手町,岩手県,39.9725,141.2125
紫波町,岩手県,39.554536,141.155796
矢巾町,岩手県,39.60583333,141.1430556
西和賀町,岩手県,39.31777778,140.7791667
金ケ崎町,岩手県,39.19555556,141.1161111
平泉町,岩手県,38.98666667,141.1141667
住田町,岩手県,39.14194444,141.5758333
大槌町,岩手県,39.358196,141.899731
山田町,岩手県,39.4675,141.9488889
岩泉町,岩手県,39.84305556,141.7966667
田野畑村,岩手県,39.93027778,141.8888889
普代村,岩手県,40.00527778,141.8861111
軽米町,岩手県,40.32666667,141.4605556
野田村,岩手県,40.11,141.8180556
九戸村,岩手県,40.21138889,141.4188889
洋野町,岩手県,40.40861111,141.7180556
一戸町,岩手県,40.21305556,141.2952778
仙台市,宮城県,38.26805556,140.8697222
仙台市 青葉区,宮城県,38.26916667,140.8705556
仙台市 宮城野区,宮城県,38.26638889,140.9102778
仙台市 若林区,宮城県,38.24416667,140.9008333
仙台市 太白区,宮城県,38.22444444,140.8772222
仙台市 泉区,宮城県,38.32638889,140.8813889
石巻市,宮城県,38.43416667,141.3027778
塩竈市,宮城県,38.31444444,141.0222222
気仙沼市,宮城県,38.90833333,141.57
白石市,宮城県,38.00222222,140.6197222
名取市,宮城県,38.17166667,140.8919444
角田市,宮城県,37.97722222,140.7819444
多賀城市,宮城県,38.29388889,141.0044444
岩沼市,宮城県,38.10444444,140.87
登米市,宮城県,38.69194444,141.1877778
栗原市,宮城県,38.73027778,141.0213889
東松島市,宮城県,38.42638889,141.2105556
大崎市,宮城県,38.57722222,140.9555556
富谷市,宮城県,38.4,140.8952778
蔵王町,宮城県,38.09805556,140.6588889
七ヶ宿町,宮城県,37.99305556,140.4416667
大河原町,宮城県,38.04944444,140.7308333
村田町,宮城県,38.11861111,140.7225
柴田町,宮城県,38.05638889,140.7658333
川崎町,宮城県,38.17777778,140.6436111
丸森町,宮城県,37.91138889,140.7655556
亘理町,宮城県,38.044263,140.867924
山元町,宮城県,37.9625,140.8777778
松島町,宮城県,38.380149,141.067291
七ヶ浜町,宮城県,38.30472222,141.0594444
利府町,宮城県,38.33027778,140.9755556
大和町,宮城県,38.4375,140.8863889
大郷町,宮城県,38.42444444,141.0044444
大衡村,宮城県,38.4675,140.8802778
色麻町,宮城県,38.54888889,140.85
加美町,宮城県,38.57194444,140.855
涌谷町,宮城県,38.53972222,141.1283333
美里町,宮城県,38.54444444,141.0569444
女川町,宮城県,38.445388,141.442693
南三陸町,宮城県,38.680666,141.462492
秋田市,秋田県,39.71972222,140.1025
能代市,秋田県,40.21222222,140.0266667
横手市,秋田県,39.313777,140.566636
大館市,秋田県,40.27166667,140.5647222
男鹿市,秋田県,39.88666667,139.8477778
湯沢市,秋田県,39.16388889,140.495
鹿角市,秋田県,40.21583333,140.7883333
由利本荘市,秋田県,39.38583333,140.0488889
潟上市,秋田県,39.857288,140.013049
大仙市,秋田県,39.45305556,140.4755556
北秋田市,秋田県,40.22611111,140.3708333
にかほ市,秋田県,39.20305556,139.9077778
仙北市,秋田県,39.7,140.7305556
小坂町,秋田県,40.332926,140.736191
上小阿仁村,秋田県,40.06333333,140.2958333
藤里町,秋田県,40.27833333,140.2619444
三種町,秋田県,40.10166667,140.005
八峰町,秋田県,40.31888889,140.0386111
五城目町,秋田県,39.94416667,140.1116667
八郎潟町,秋田県,39.94944444,140.0733333
井川町,秋田県,39.91416667,140.0816667
大潟村,秋田県,40.01777778,139.96
美郷町,秋田県,39.46166667,140.5825
羽後町,秋田県,39.19944444,140.4130556
東成瀬村,秋田県,39.17888889,140.6488889
山形市,山形県,38.25555556,140.3397222
米沢市,山形県,37.92222222,140.1169444
鶴岡市,山形県,38.72722222,139.8266667
酒田市,山形県,38.91444444,139.8363889
新庄市,山形県,38.76472222,140.3019444
寒河江市,山形県,38.38111111,140.2761111
上山市,山形県,38.14972222,140.2677778
村山市,山形県,38.48361111,140.3805556
長井市,山形県,38.106088,140.033947
天童市,山形県,38.36222222,140.3783333
東根市,山形県,38.43138889,140.3911111
尾花沢市,山形県,38.60083333,140.4058333
南陽市,山形県,38.05527778,140.1483333
山辺町,山形県,38.28916667,140.2625
中山町,山形県,38.33333333,140.2830556
河北町,山形県,38.42638889,140.3144444
西川町,山形県,38.42666667,140.1477778
朝日町,山形県,38.29916667,140.1458333
大江町,山形県,38.38083333,140.2066667
大石田町,山形県,38.59388889,140.3727778
金山町,山形県,38.88333333,140.3394444
最上町,山形県,38.75861111,140.5194444
舟形町,山形県,38.69166667,140.32
真室川町,山形県,38.85777778,140.2525
大蔵村,山形県,38.70416667,140.2305556
鮭川村,山形県,38.79611111,140.2216667
戸沢村,山形県,38.73777778,140.1436111
高畠町,山形県,38.00277778,140.1891667
川西町,山形県,38.005203,140.053181
小国町,山形県,38.06138889,139.7433333
白鷹町,山形県,38.18305556,140.0986111
飯豊町,山形県,38.04583333,139.9875
三川町,山形県,38.79444444,139.8497222
庄内町,山形県,38.84972222,139.9047222
遊佐町,山形県,39.014836,139.908662
福島市,福島県,37.76083333,140.4747222
会津若松市,福島県,37.49472222,139.9297222
郡山市,福島県,37.40055556,140.3597222
いわき市,福島県,37.05055556,140.8877778
白河市,福島県,37.12638889,140.2108333
須賀川市,福島県,37.28666667,140.3727778
喜多方市,福島県,37.65111111,139.8744444
相馬市,福島県,37.79666667,140.9197222
二本松市,福島県,37.58472222,140.4313889
田村市,福島県,37.440621,140.57631
南相馬市,福島県,37.64222222,140.9572222
伊達市,福島県,37.81888889,140.5630556
本宮市,福島県,37.51333333,140.3938889
桑折町,福島県,37.85472,140.520851
国見町,福島県,37.87694444,140.5494444
川俣町,福島県,37.665,140.5983333
大玉村,福島県,37.53444444,140.3711111
鏡石町,福島県,37.25277778,140.3436111
天栄村,福島県,37.25527778,140.2472222
下郷町,福島県,37.25555556,139.8722222
檜枝岐村,福島県,37.02416667,139.3888889
只見町,福島県,37.34861111,139.3158333
南会津町,福島県,37.20027778,139.7733333
北塩原村,福島県,37.65583333,139.9377778
西会津町,福島県,37.587396,139.649301
磐梯町,福島県,37.56194444,139.9883333
猪苗代町,福島県,37.55777778,140.1047222
会津坂下町,福島県,37.56138889,139.8216667
湯川村,福島県,37.56583333,139.8866667
柳津町,福島県,37.52611111,139.7194444
三島町,福島県,37.47027778,139.6444444
金山町,福島県,37.45388889,139.5247222
昭和村,福島県,37.33583333,139.6105556
会津美里町,福島県,37.464985,139.834177
西郷村,福島県,37.14194444,140.1552778
泉崎村,福島県,37.153784,140.303363
中島村,福島県,37.14861111,140.3502778
矢吹町,福島県,37.20111111,140.3386111
棚倉町,福島県,37.02972222,140.3797222
矢祭町,福島県,36.87138889,140.4247222
塙町,福島県,36.95722222,140.4097222
鮫川村,福島県,37.0425,140.5097222
石川町,福島県,37.157072,140.446775
玉川村,福島県,37.21083333,140.4088889
平田村,福島県,37.221995,140.575655
浅川町,福島県,37.08083333,140.4127778
古殿町,福島県,37.08916667,140.5558333
三春町,福島県,37.44111111,140.4927778
小野町,福島県,37.28694444,140.6263889
広野町,福島県,37.21444444,140.9947222
楢葉町,福島県,37.2825,140.9936111
富岡町,福島県,37.34555556,141.0086111
川内村,福島県,37.3375,140.8094444
大熊町,福島県,37.382087,140.958264
双葉町,福島県,36.921861,140.800626
浪江町,福島県,37.49472222,141.0008333
葛尾村,福島県,37.50361111,140.7644444
新地町,福島県,37.87611111,140.9194444
飯舘村,福島県,37.67916667,140.7355556
水戸市,茨城県,36.36583333,140.4713889
日立市,茨城県,36.59916667,140.6516667
土浦市,茨城県,36.078391,140.204143
古河市,茨城県,36.17888889,139.7558333
石岡市,茨城県,36.19083333,140.2872222
結城市,茨城県,36.289625,139.87147
龍ケ崎市,茨城県,35.91166667,140.1822222
下妻市,茨城県,36.18444444,139.9675
常総市,茨城県,36.02361111,139.9938889
常陸太田市,茨城県,36.53833333,140.5311111
高萩市,茨城県,36.71361111,140.7097222
北茨城市,茨城県,36.80194444,140.7511111
笠間市,茨城県,36.345,140.3041667
取手市,茨城県,35.91138889,140.0502778
牛久市,茨城県,35.97944444,140.1497222
つくば市,茨城県,36.08361111,140.0763889
ひたちなか市,茨城県,36.39638889,140.5344444
鹿嶋市,茨城県,35.96583333,140.645
潮来市,茨城県,35.94722222,140.5552778
守谷市,茨城県,35.95138889,139.9755556
常陸大宮市,茨城県,36.5425,140.4108333
那珂市,茨城県,36.4575,140.4866667
筑西市,茨城県,36.305263,139.979417
坂東市,茨城県,36.04833333,139.8888889
稲敷市,茨城県,35.972927,140.303583
かすみがうら市,茨城県,36.15194444,140.2372222
桜川市,茨城県,36.32722222,140.0905556
神栖市,茨城県,35.89,140.6647222
行方市,茨城県,35.99027778,140.4891667
鉾田市,茨城県,36.15861111,140.5163889
つくばみらい市,茨城県,35.96305556,140.0372222
小美玉市,茨城県,36.23944444,140.3525
茨城町,茨城県,36.28694444,140.4247222
大洗町,茨城県,36.31333333,140.575
城里町,茨城県,36.47916667,140.3763889
東海村,茨城県,36.47305556,140.5661111
大子町,茨城県,36.76805556,140.3552778
美浦村,茨城県,36.00444444,140.3019444
阿見町,茨城県,36.03083333,140.215
河内町,茨城県,35.88472222,140.2444444
八千代町,茨城県,36.18138889,139.8913889
五霞町,茨城県,36.11444444,139.7452778
境町,茨城県,36.10861111,139.795
利根町,茨城県,35.85777778,140.1394444
宇都宮市,栃木県,36.55527778,139.8827778
足利市,栃木県,36.34027778,139.4497222
栃木市,栃木県,36.382414,139.734111
佐野市,栃木県,36.31444444,139.5783333
鹿沼市,栃木県,36.56722222,139.745
日光市,栃木県,36.72,139.6983333
小山市,栃木県,36.31472222,139.8002778
真岡市,栃木県,36.44027778,140.0130556
大田原市,栃木県,36.87083333,140.0155556
矢板市,栃木県,36.80666667,139.9241667
那須塩原市,栃木県,36.96166667,140.0461111
さくら市,栃木県,36.68527778,139.9663889
那須烏山市,栃木県,36.65694444,140.1516667
下野市,栃木県,36.395227,139.85192
上三川町,栃木県,36.43916667,139.91
益子町,栃木県,36.4675,140.0930556
茂木町,栃木県,36.53222222,140.1875
市貝町,栃木県,36.54333333,140.1022222
芳賀町,栃木県,36.54805556,140.0580556
壬生町,栃木県,36.42722222,139.8038889
野木町,栃木県,36.23305556,139.7408333
塩谷町,栃木県,36.7775,139.8505556
高根沢町,栃木県,36.63111111,139.9866667
那須町,栃木県,37.01972222,140.1211111
那珂川町,栃木県,36.736223,140.17282
前橋市,群馬県,36.38916667,139.0636111
高崎市,群馬県,36.32194444,139.0036111
桐生市,群馬県,36.40527778,139.3305556
伊勢崎市,群馬県,36.31138889,139.1966667
太田市,群馬県,36.29166667,139.3758333
沼田市,群馬県,36.64396,139.042784
館林市,群馬県,36.245,139.5422222
渋川市,群馬県,36.48944444,139.0005556
藤岡市,群馬県,36.25861111,139.0747222
富岡市,群馬県,36.26,138.89
安中市,群馬県,36.32638889,138.8872222
みどり市,群馬県,36.39472222,139.2811111
榛東村,群馬県,36.438647,138.967118
吉岡町,群馬県,36.4475,139.0102778
上野村,群馬県,36.08333333,138.7772222
神流町,群馬県,36.11611111,138.9169444
下仁田町,群馬県,36.2125,138.7891667
南牧村,群馬県,36.15861111,138.7113889
甘楽町,群馬県,36.24305556,138.9219444
中之条町,群馬県,36.59,138.8411111
長野原町,群馬県,36.544321,138.649837
嬬恋村,群馬県,36.51666667,138.5302778
草津町,群馬県,36.62055556,138.5961111
高山村,群馬県,36.62083333,138.9436111
東吾妻町,群馬県,36.571564,138.820571
片品村,群馬県,36.7725,139.2252778
川場村,群馬県,36.69472222,139.1066667
昭和村,群馬県,36.63972222,139.0658333
みなかみ町,群馬県,36.67888889,138.9991667
玉村町,群馬県,36.30444444,139.115
板倉町,群馬県,36.225962,139.601938
明和町,群馬県,36.21138889,139.5341667
千代田町,群馬県,36.21777778,139.4425
大泉町,群馬県,36.24777778,139.405
邑楽町,群馬県,36.2525,139.4625
さいたま市,埼玉県,35.86166667,139.6452778
さいたま市 西区,埼玉県,35.925,139.5797222
さいたま市 北区,埼玉県,35.93083333,139.62
さいたま市 大宮区,埼玉県,35.90611111,139.6286111
さいたま市 見沼区,埼玉県,35.93527778,139.6544444
さいたま市 中央区,埼玉県,35.88388889,139.6261111
さいたま市 桜区,埼玉県,35.85694444,139.6094444
さいたま市 浦和区,埼玉県,35.86166667,139.6452778
さいたま市 南区,埼玉県,35.84638889,139.6480556
さいたま市 緑区,埼玉県,35.87111111,139.6838889
さいたま市 岩槻区,埼玉県,35.94972146,139.6941694
川越市,埼玉県,35.925,139.4858333
熊谷市,埼玉県,36.14722222,139.3886111
川口市,埼玉県,35.806733,139.7234
行田市,埼玉県,36.13888889,139.4558333
秩父市,埼玉県,35.99166667,139.0855556
所沢市,埼玉県,35.79944444,139.4688889
飯能市,埼玉県,35.85583333,139.3277778
加須市,埼玉県,36.13138889,139.6019444
本庄市,埼玉県,36.24388889,139.1902778
東松山市,埼玉県,36.04222222,139.4
春日部市,埼玉県,35.97527778,139.7525
狭山市,埼玉県,35.85305556,139.4122222
羽生市,埼玉県,36.17277778,139.5486111
鴻巣市,埼玉県,36.06583333,139.5222222
深谷市,埼玉県,36.1975,139.2813889
上尾市,埼玉県,35.9775,139.5933333
草加市,埼玉県,35.82555556,139.8055556
越谷市,埼玉県,35.89111111,139.7908333
蕨市,埼玉県,35.82555556,139.6794444
戸田市,埼玉県,35.8175,139.6777778
入間市,埼玉県,35.83583333,139.3911111
朝霞市,埼玉県,35.79722222,139.5936111
志木市,埼玉県,35.83666667,139.5802778
和光市,埼玉県,35.78138889,139.6058333
新座市,埼玉県,35.79333333,139.5652778
桶川市,埼玉県,36.00277778,139.5583333
久喜市,埼玉県,36.06222222,139.6669444
北本市,埼玉県,36.02722222,139.5302778
八潮市,埼玉県,35.82277778,139.8391667
富士見市,埼玉県,35.85666667,139.5491667
三郷市,埼玉県,35.83027778,139.8725
蓮田市,埼玉県,35.99416667,139.6622222
坂戸市,埼玉県,35.95722222,139.4030556
幸手市,埼玉県,36.07805556,139.7258333
鶴ヶ島市,埼玉県,35.93444444,139.3930556
日高市,埼玉県,35.90777778,139.3391667
吉川市,埼玉県,35.895962,139.855651
ふじみ野市,埼玉県,35.87944444,139.5197222
白岡市,埼玉県,36.01888889,139.6769444
伊奈町,埼玉県,36,139.6238889
三芳町,埼玉県,35.82833333,139.5266667
毛呂山町,埼玉県,35.94166667,139.3161111
越生町,埼玉県,35.96444444,139.2941667
滑川町,埼玉県,36.06611111,139.3608333
嵐山町,埼玉県,36.05666667,139.3202778
小川町,埼玉県,36.05666667,139.2619444
川島町,埼玉県,35.992494,139.484352
吉見町,埼玉県,36.04,139.4538889
鳩山町,埼玉県,35.98166667,139.3341667
ときがわ町,埼玉県,36.00861111,139.2969444
横瀬町,埼玉県,35.98722222,139.1002778
皆野町,埼玉県,36.07083333,139.0988889
長瀞町,埼玉県,36.11472222,139.11
小鹿野町,埼玉県,36.01722222,139.0086111
東秩父村,埼玉県,36.05805556,139.1947222
美里町,埼玉県,36.17722222,139.1813889
神川町,埼玉県,36.21388889,139.1019444
上里町,埼玉県,36.25194444,139.1447222
寄居町,埼玉県,36.11833333,139.1930556
宮代町,埼玉県,36.0225,139.7227778
杉戸町,埼玉県,36.02555556,139.7366667
松伏町,埼玉県,35.92583333,139.8152778
千葉市,千葉県,35.60722222,140.1063889
千葉市 中央区,千葉県,35.60888889,140.1247222
千葉市 花見川区,千葉県,35.66277778,140.0691667
千葉市 稲毛区,千葉県,35.63638889,140.1072222
千葉市 若葉区,千葉県,35.63416667,140.1555556
千葉市 緑区,千葉県,35.56027778,140.1763889
千葉市 美浜区,千葉県,35.64027778,140.0630556
銚子市,千葉県,35.73472222,140.8266667
市川市,千葉県,35.72194444,139.9311111
船橋市,千葉県,35.69472222,139.9825
館山市,千葉県,34.99666667,139.87
木更津市,千葉県,35.381208,139.924905
松戸市,千葉県,35.78777778,139.9030556
野田市,千葉県,35.955,139.8747222
茂原市,千葉県,35.42833333,140.2880556
成田市,千葉県,35.77666667,140.3183333
佐倉市,千葉県,35.72388889,140.2238889
東金市,千葉県,35.56,140.3661111
旭市,千葉県,35.716116,140.648217
習志野市,千葉県,35.68083333,140.0266667
柏市,千葉県,35.86805556,139.9763889
勝浦市,千葉県,35.1525,140.3211111
市原市,千葉県,35.49805556,140.1155556
流山市,千葉県,35.85611111,139.9025
八千代市,千葉県,35.7225,140.0997222
我孫子市,千葉県,35.86416667,140.0283333
鴨川市,千葉県,35.11416667,140.0988889
鎌ケ谷市,千葉県,35.77694444,140.0008333
君津市,千葉県,35.33055556,139.9025
富津市,千葉県,35.30416667,139.8569444
浦安市,千葉県,35.65361111,139.9016667
四街道市,千葉県,35.67,140.1683333
袖ケ浦市,千葉県,35.43,139.9547222
八街市,千葉県,35.66583333,140.3183333
印西市,千葉県,35.83222222,140.1458333
白井市,千葉県,35.79166667,140.0563889
富里市,千葉県,35.72666667,140.3430556
南房総市,千葉県,35.04333333,139.8402778
匝瑳市,千葉県,35.70777778,140.5644444
香取市,千葉県,35.89777778,140.4991667
山武市,千葉県,35.60277778,140.4136111
いすみ市,千葉県,35.25388889,140.3852778
大網白里市,千葉県,35.52166667,140.3211111
酒々井町,千葉県,35.725,140.2694444
栄町,千葉県,35.84083333,140.2438889
神崎町,千葉県,35.90166667,140.4052778
多古町,千葉県,35.73555556,140.4677778
東庄町,千葉県,35.83722222,140.6688889
